Date,Amazon_Sales,Flipkart_Sales,Website_Sales,Offline_Sales,Gross_Sales,Total_Orders,Average_Order_Value,Returns,Net_Sales,COGS,Gross_Profit,Platform_Fees,Marketing_Spend_Digital,Marketing_Spend_Offline,Total_Marketing_Spend,Contribution_Margin,Fixed_Cost_Allocation,Net_Profit_Loss,Debt_Repayment_Cash_Out,Net_Cash_Flow,Profitability_Label,Marketing_Efficiency_Ratio,Marketing_Efficiency_Label,Dominant_Sales_Channel
11-01-2024,48313.97,28622.25,16214.39,19673.54,112824.14,77,1465.25,33975.66,78848.49,45538.11,33310.38,20683.47,12387.45,1555.19,13942.64,-1315.74,11513.16,-12828.89,0,-12828.89,Low Profit,5.655205184,Medium Efficiency,Amazon_Sales
12-01-2024,36718.61,23859.91,24894.85,15445.33,100918.7,69,1462.59,30390.47,70528.23,40732.84,29795.4,16246.19,11366.51,1220.95,12587.46,961.75,11513.16,-10551.41,0,-10551.41,High Profit,5.603054945,Medium Efficiency,Amazon_Sales
13-01-2024,68924.38,50586.19,32774.39,25930.48,178215.44,122,1460.78,53667.47,124547.97,71931.36,52616.61,31945.37,20251.32,2049.8,15434.05,-1629.88,11513.16,-13143.04,0,-13143.04,Low Profit,8.069688125,High Efficiency,Amazon_Sales
14-01-2024,66473.15,32874.62,34733.76,28119.37,162200.9,111,1461.27,48844.88,113356.02,65467.57,47888.45,26831.14,17830.57,2222.83,20053.4,1003.91,11513.16,-10509.25,0,-10509.25,High Profit,5.652708269,Medium Efficiency,Amazon_Sales
15-01-2024,80094.12,62429.66,45800.3,34565.84,222889.91,153,1456.8,67120.66,155769.26,89962.89,65806.37,38033.77,25043.91,2732.42,27776.33,-3.73,11513.16,-11516.89,0,-11516.89,Medium Profit,5.607985648,Medium Efficiency,Amazon_Sales
16-01-2024,36767.39,22137.41,15678.07,19211.99,93794.87,64,1465.54,28245.21,65549.65,37857.51,27692.14,15829.22,9918.26,1518.7,11436.96,425.96,11513.16,-11087.2,0,-11087.2,Medium Profit,5.731387537,High Efficiency,Amazon_Sales
17-01-2024,34265.1,33350.82,18231.15,18339.38,104186.46,71,1467.41,31374.52,72811.94,42051.77,30760.17,17931.93,11416.21,1449.72,12865.93,-37.69,11513.16,-11550.85,0,-11550.85,Medium Profit,5.659283083,Medium Efficiency,Amazon_Sales
18-01-2024,31691.07,31318.02,18702.88,21555.11,103267.09,71,1454.47,31097.66,72169.43,41680.69,30488.74,16703.01,10866.31,1703.93,12570.23,1215.5,11513.16,-10297.66,0,-10297.66,High Profit,5.741297494,High Efficiency,Amazon_Sales
19-01-2024,34230.84,27456.88,20906.45,14957.78,97551.95,67,1456,29376.62,68175.34,39373.95,28801.39,16448.86,10983.63,1182.41,12166.03,186.5,11513.16,-11326.66,0,-11326.66,Medium Profit,5.60374584,Medium Efficiency,Amazon_Sales
20-01-2024,81662.05,44453.71,25456.29,30515.91,182087.95,125,1456.7,54833.63,127254.32,73494.39,53759.93,33978.8,20156.51,2412.28,22568.79,-2787.66,11513.16,-14300.81,0,-14300.81,Low Profit,5.638508755,Medium Efficiency,Amazon_Sales
21-01-2024,59344.32,35399.29,26086.84,24104.82,144935.27,100,1449.35,43645.54,101289.73,58498.81,42790.92,25466.23,16068.4,1905.48,17973.88,-649.2,11513.16,-12162.36,0,-12162.36,Medium Profit,5.635384792,Medium Efficiency,Amazon_Sales
22-01-2024,49977.25,29664.9,24342.72,14551.81,118536.67,81,1463.42,35695.92,82840.76,47843.8,34996.95,21409.86,13828.22,1150.32,14978.54,-1391.44,11513.16,-12904.6,0,-12904.6,Low Profit,5.530629821,Low Efficiency,Amazon_Sales
23-01-2024,31840.2,30446.47,21127.79,19050.18,102464.64,70,1463.78,30856.01,71608.63,41356.81,30251.82,16526.87,11092.71,1505.91,12598.62,1126.33,11513.16,-10386.83,0,-10386.83,High Profit,5.68384712,High Efficiency,Amazon_Sales
24-01-2024,44707.67,31449.2,21771.16,19193.06,117121.08,80,1464.01,35269.63,81851.45,47272.44,34579.01,20380.45,13022.77,1517.21,14539.97,-341.41,11513.16,-11854.57,0,-11854.57,Medium Profit,5.629409827,Medium Efficiency,Amazon_Sales
25-01-2024,35154.33,20594.24,22434.56,19373.96,97557.09,67,1456.08,29378.16,68178.92,39376.02,28802.91,14991.77,10397.03,1531.51,11928.54,1882.6,11513.16,-9630.56,0,-9630.56,High Profit,5.715613143,High Efficiency,Amazon_Sales
26-01-2024,44369.03,32078.7,20265.93,13769.56,110483.22,76,1453.73,33270.71,77212.51,44593.27,32619.24,20443,12861.28,1088.48,13949.76,-1773.52,11513.16,-13286.68,0,-13286.68,Low Profit,5.53504218,Low Efficiency,Amazon_Sales
27-01-2024,83444.69,41810.64,36822.14,21695.22,183772.7,126,1458.51,55340.97,128431.73,74174.39,54257.34,33817.18,21553.56,1715,23268.56,-2828.4,11513.16,-14341.55,0,-14341.55,Low Profit,5.519539241,Low Efficiency,Amazon_Sales
28-01-2024,57886.79,49329.46,31304.85,25449.48,163970.58,113,1451.07,49377.8,114592.78,66181.85,48410.93,28540.67,18420.96,2011.78,20432.73,-562.47,11513.16,-12075.63,0,-12075.63,Medium Profit,5.608295123,Medium Efficiency,Amazon_Sales
29-01-2024,33920.41,31312.37,18307.01,14782.59,98322.37,67,1467.5,29608.62,68713.76,39684.9,29028.85,17325.81,11109.38,1168.56,12277.94,-574.89,11513.16,-12088.05,0,-12088.05,Medium Profit,5.596521892,Low Efficiency,Amazon_Sales
30-01-2024,35262.72,32449.61,25023.17,16054.92,108790.42,75,1450.54,32760.95,76029.47,43910.02,32119.45,17985.96,12332.25,1269.14,13601.39,532.1,11513.16,-10981.06,0,-10981.06,Medium Profit,5.589830892,Low Efficiency,Amazon_Sales
31-01-2024,48261.78,30493.26,19982.35,15719.39,114456.77,78,1467.39,34467.3,79989.47,46197.07,33792.4,21136.61,13130.4,1242.61,14373.01,-1717.23,11513.16,-13230.39,0,-13230.39,Low Profit,5.565255294,Low Efficiency,Amazon_Sales
01-02-2024,40631.4,26652.59,18631.95,17191.46,103107.39,71,1452.22,31049.57,72057.82,41616.23,30441.59,18039.94,11425.36,1358.98,12784.34,-382.69,11513.16,-11895.85,0,-11895.85,Medium Profit,5.636412987,Medium Efficiency,Amazon_Sales
02-02-2024,51721.89,33205.19,24560.6,16498.46,125986.14,86,1464.96,37939.23,88046.91,50850.56,37196.35,22783.43,14560.01,1304.2,15864.21,-1451.29,11513.16,-12964.44,0,-12964.44,Low Profit,5.550034323,Low Efficiency,Amazon_Sales
03-02-2024,76757.12,36052.7,24491.62,21730.83,159032.27,109,1459.01,47890.68,111141.58,64188.65,46952.94,30505.17,18258.77,1717.82,19976.58,-3528.81,11513.16,-15041.97,0,-15041.97,Low Profit,5.563593969,Low Efficiency,Amazon_Sales
04-02-2024,67104.97,52502.33,29373.34,33287.62,182268.26,125,1458.15,54887.93,127380.33,73567.16,53813.17,31914.97,19811.9,2631.38,22443.28,-545.08,11513.16,-12058.24,0,-12058.24,Medium Profit,5.675655697,Medium Efficiency,Amazon_Sales
05-02-2024,50834.09,20696.48,19782.57,19601.14,110914.28,76,1459.4,33400.52,77513.76,44767.25,32746.51,19407.67,12143.1,1549.47,13692.57,-353.73,11513.16,-11866.88,350000,-361866.88,Medium Profit,5.661008854,Medium Efficiency,Amazon_Sales
06-02-2024,43361.88,33093.42,19291.54,18084.42,113831.25,78,1459.38,34278.93,79552.32,45944.6,33607.72,20414.68,12732.71,1429.57,14162.28,-969.24,11513.16,-12482.4,0,-12482.4,Medium Profit,5.617197231,Medium Efficiency,Amazon_Sales
07-02-2024,51745.07,25351.8,18140.11,22180.57,117417.56,81,1449.6,35358.91,82058.65,47392.11,34666.54,20826.57,12664.91,1753.37,14418.27,-578.3,11513.16,-12091.46,0,-12091.46,Medium Profit,5.691296529,High Efficiency,Amazon_Sales
08-02-2024,50973.4,22793.82,19540.81,17318.33,110626.36,76,1455.61,33313.82,77312.54,44651.04,32661.5,19971.01,12408.39,1369.01,13777.4,-1086.9,11513.16,-12600.06,0,-12600.06,Medium Profit,5.611547897,Medium Efficiency,Amazon_Sales
09-02-2024,47401.71,23137.4,22066.21,22027.58,114632.91,79,1451.05,34520.34,80112.56,46268.16,33844.4,19056.83,12314.94,1741.27,14056.21,731.36,11513.16,-10781.8,0,-10781.8,Medium Profit,5.699442453,High Efficiency,Amazon_Sales
10-02-2024,55964.74,49753.34,27144.26,23700.57,156562.91,108,1449.66,47147.07,109415.84,63191.96,46223.88,28108.46,17668.44,1873.52,19541.96,-1426.55,11513.16,-12939.7,0,-12939.7,Low Profit,5.599020774,Medium Efficiency,Amazon_Sales
11-02-2024,80355.72,38055.86,28755.78,25573.56,172740.93,119,1451.6,52018.88,120722.04,69721.74,51000.3,32013.57,19570.77,2021.58,21592.35,-2605.61,11513.16,-14118.77,0,-14118.77,Low Profit,5.590963466,Low Efficiency,Amazon_Sales
12-02-2024,51924.62,33626.99,21406.73,14752.53,121710.87,83,1466.4,36651.79,85059.08,49124.97,35934.11,22945.64,14223.65,1166.18,15389.83,-2401.37,11513.16,-13914.52,0,-13914.52,Low Profit,5.526966835,Low Efficiency,Amazon_Sales
13-02-2024,52146.15,30154.61,17139.06,20574.38,120014.19,82,1463.59,36140.85,83873.34,48440.16,35433.18,22139.57,13223.81,1626.4,14850.21,-1556.6,11513.16,-13069.76,0,-13069.76,Low Profit,5.647956494,Medium Efficiency,Amazon_Sales
14-02-2024,49702.42,27366.89,21804,14500.72,113374.03,78,1453.51,34141.25,79232.78,45760.06,33472.73,20758.4,13148.47,1146.28,14294.75,-1580.43,11513.16,-13093.58,0,-13093.58,Low Profit,5.542788786,Low Efficiency,Amazon_Sales
15-02-2024,70701.94,60400.33,45671.59,40561.87,217335.73,149,1458.63,65448.08,151887.65,87721.11,64166.54,34896.63,23507.93,3206.41,26714.33,2555.58,11513.16,-8957.57,0,-8957.57,High Profit,5.685624532,High Efficiency,Amazon_Sales
16-02-2024,34594.6,32690.49,16775.94,20434.68,104495.71,72,1451.33,31467.65,73028.06,42176.59,30851.48,17859.11,11178.69,1615.36,12794.05,198.32,11513.16,-11314.84,0,-11314.84,Medium Profit,5.707970502,High Efficiency,Amazon_Sales
17-02-2024,76817.61,52165.24,34638.66,27339.42,190960.92,131,1457.72,57505.62,133455.3,77075.7,56379.6,34550.24,21758.89,2161.17,23920.06,-2090.7,11513.16,-13603.86,0,-13603.86,Low Profit,5.579220955,Low Efficiency,Amazon_Sales
18-02-2024,77972.1,49035.16,33141.82,31731.69,191880.78,132,1453.64,57782.62,134098.15,77446.97,56651.18,34090.98,21297.11,2508.38,23805.5,-1245.29,11513.16,-12758.45,0,-12758.45,Medium Profit,5.63307429,Medium Efficiency,Amazon_Sales
19-02-2024,48225.68,28863.28,24969.07,16427.69,118485.72,81,1462.79,35680.57,82805.15,47823.24,34981.91,20719.01,13571.99,1298.6,14870.59,-607.69,11513.16,-12120.85,0,-12120.85,Medium Profit,5.568383635,Low Efficiency,Amazon_Sales
20-02-2024,39798.89,24123.48,19755.4,18900.91,102578.67,70,1465.41,30890.35,71688.32,41402.83,30285.49,17174.56,11127.72,1494.11,12621.84,489.09,11513.16,-11024.06,0,-11024.06,Medium Profit,5.679704385,Medium Efficiency,Amazon_Sales
21-02-2024,32208.89,31216.87,15917.25,15899.02,95242.03,65,1465.26,28681.01,66561.02,38441.61,28119.41,16822.71,10551.28,1256.81,11808.09,-511.39,11513.16,-12024.55,0,-12024.55,Medium Profit,5.636899787,Medium Efficiency,Amazon_Sales
22-02-2024,33453.76,31044.02,20858.02,17242.52,102598.31,70,1465.69,30896.27,71702.05,41410.76,30291.29,17128.06,11350.87,1363.02,12713.89,449.34,11513.16,-11063.82,0,-11063.82,Medium Profit,5.639662605,Medium Efficiency,Amazon_Sales
23-02-2024,37780.84,21699.76,16775.81,14683.66,90940.07,62,1466.78,27385.53,63554.55,36705.26,26849.29,16003.58,10140.81,1160.74,11301.55,-455.84,11513.16,-11968.99,0,-11968.99,Medium Profit,5.623525092,Medium Efficiency,Amazon_Sales
24-02-2024,75751.47,49522.82,25808.48,31770.75,182853.51,126,1451.22,55064.17,127789.34,73803.38,53985.96,33591.12,20091.45,2511.47,22602.92,-2208.08,11513.16,-13721.23,0,-13721.23,Low Profit,5.653665102,Medium Efficiency,Amazon_Sales
25-02-2024,82361.02,42308.01,24493.09,30783.5,179945.62,124,1451.17,54188.49,125757.13,72629.7,53127.43,33638.09,19836.03,2433.43,22269.46,-2780.12,11513.16,-14293.28,0,-14293.28,Low Profit,5.64706688,Medium Efficiency,Amazon_Sales
26-02-2024,43563.24,30069.44,23341.3,20200.75,117174.74,80,1464.68,35285.79,81888.96,47294.1,34594.85,19715.07,12895.9,1596.86,14492.76,387.02,11513.16,-11126.13,0,-11126.13,Medium Profit,5.650335754,Medium Efficiency,Amazon_Sales
27-02-2024,37911.78,22544.33,23194.19,18432.64,102082.94,70,1458.33,30741.07,71341.87,41202.74,30139.13,16251.38,11124.07,1457.1,12581.17,1306.58,11513.16,-10206.58,0,-10206.58,High Profit,5.670527463,Medium Efficiency,Amazon_Sales
28-02-2024,38401.82,21021.86,18384.04,16151.54,93959.26,64,1468.11,28294.72,65664.54,37923.86,27740.68,16007.97,10347.11,1276.78,11623.88,108.82,11513.16,-11404.34,0,-11404.34,Medium Profit,5.649106839,Medium Efficiency,Amazon_Sales
29-02-2024,33656.92,23764.6,18116.56,14390.03,89928.1,62,1450.45,27080.78,62847.32,36296.81,26550.51,15365.09,10045.28,1137.53,11182.81,2.62,11513.16,-11510.54,0,-11510.54,Medium Profit,5.619993544,Medium Efficiency,Amazon_Sales
01-03-2024,37154.09,30554.8,23781.17,18652.63,110142.68,76,1449.25,33168.16,76974.52,44455.82,32518.7,18041.84,12166.63,1474.49,13641.11,835.74,11513.16,-10677.42,0,-10677.42,Medium Profit,5.642834051,Medium Efficiency,Amazon_Sales
02-03-2024,79224.22,48610.33,35792.1,25424.78,189051.43,130,1454.24,56930.6,132120.83,76304.99,55815.84,34335.37,21759.57,2009.82,23769.39,-2288.92,11513.16,-13802.08,0,-13802.08,Low Profit,5.558444285,Low Efficiency,Amazon_Sales
03-03-2024,51246.18,40348.08,27544.6,25759.55,144898.41,99,1463.62,43634.44,101263.97,58483.93,42780.03,24435.95,15843.45,2036.29,17879.73,464.35,11513.16,-11048.81,0,-11048.81,Medium Profit,5.663618522,Medium Efficiency,Amazon_Sales
04-03-2024,45134.44,27937,24469.73,22235.76,119776.93,82,1460.69,36069.41,83707.53,48344.4,35363.13,19621.89,12971.32,1757.73,14729.05,1012.18,11513.16,-10500.98,0,-10500.98,High Profit,5.683158792,High Efficiency,Amazon_Sales
05-03-2024,41179.85,27187.17,20760.7,19490.33,108618.05,74,1467.81,32709.04,75909.01,43840.45,32068.56,18327.15,11852.48,1540.71,13393.18,348.23,11513.16,-11164.93,350000,-361164.93,Medium Profit,5.667736116,Medium Efficiency,Amazon_Sales
06-03-2024,47160.57,24460.55,16551.86,14843.66,103016.64,71,1450.94,31022.24,71994.4,41579.61,30414.8,19320.1,11725.51,1173.39,12898.9,-1804.2,11513.16,-13317.36,0,-13317.36,Low Profit,5.581437177,Low Efficiency,Amazon_Sales
07-03-2024,48480.55,23083.5,21270.84,15714.02,108548.91,74,1466.88,32688.22,75860.69,43812.54,32048.15,19345.43,12345.47,1242.19,13587.66,-884.94,11513.16,-12398.09,0,-12398.09,Medium Profit,5.583057716,Low Efficiency,Amazon_Sales
08-03-2024,47128.16,22670.24,24774.52,22121.98,116694.9,80,1458.69,35141.29,81553.61,47100.43,34453.18,18863.44,12576.6,1748.74,14325.33,1264.41,11513.16,-10248.75,0,-10248.75,High Profit,5.692965537,High Efficiency,Amazon_Sales
09-03-2024,52401.91,45048.34,27425.07,23469.5,148344.82,102,1454.36,44672.29,103672.53,59874.98,43797.56,25934.62,16606.3,1855.26,18461.56,-598.62,11513.16,-12111.78,0,-12111.78,Medium Profit,5.615588823,Medium Efficiency,Amazon_Sales
10-03-2024,78350.63,44854.9,28377.52,32164.2,183747.26,126,1458.31,55333.31,128413.95,74164.12,54249.83,33151.9,20157.98,2542.57,22700.55,-1602.62,11513.16,-13115.78,0,-13115.78,Low Profit,5.656865142,Medium Efficiency,Amazon_Sales
11-03-2024,46110.61,27386.55,16502.17,19382.13,109381.46,75,1458.42,32938.93,76442.53,44148.58,32293.95,19757.61,11968.39,1532.15,13500.54,-964.19,11513.16,-12477.35,0,-12477.35,Medium Profit,5.662183142,Medium Efficiency,Amazon_Sales
12-03-2024,43783.62,31901.1,25159.27,22686.11,123530.09,85,1453.3,37199.63,86330.47,49859.25,36471.22,20234.69,13410.54,1793.33,15203.87,1032.66,11513.16,-10480.5,0,-10480.5,High Profit,5.678190487,Medium Efficiency,Amazon_Sales
13-03-2024,46653.04,30844.98,22059.42,18034.23,117591.67,81,1451.75,35411.34,82180.33,47462.38,34717.95,20774.1,13239.45,1425.6,14665.05,-721.2,11513.16,-12234.36,0,-12234.36,Medium Profit,5.603822012,Medium Efficiency,Amazon_Sales
14-03-2024,46624.16,21073.86,21980.63,19790.13,109468.77,75,1459.58,32965.23,76503.55,44183.82,32319.73,18323.23,11925.74,1564.4,13490.15,506.36,11513.16,-11006.8,0,-11006.8,Medium Profit,5.671067408,Medium Efficiency,Amazon_Sales
15-03-2024,86954.78,47201.79,40250.83,33131.62,207539.01,143,1451.32,62497.92,145041.1,83766.95,61274.14,36147.78,23193.23,2619.05,25812.27,-685.91,11513.16,-12199.07,0,-12199.07,Medium Profit,5.619075734,Medium Efficiency,Amazon_Sales
16-03-2024,76048.71,46880.45,38381.63,28663.3,189974.09,131,1450.18,57208.45,132765.64,76677.39,56088.25,33013.75,21451.6,2265.83,23717.43,-642.93,11513.16,-12156.09,0,-12156.09,Medium Profit,5.597808869,Medium Efficiency,Amazon_Sales
17-03-2024,52943.89,34829.93,30770.55,24692.55,143236.91,98,1461.6,43134.1,100102.81,57813.32,42289.49,23531.77,15764.39,1951.94,17716.33,1041.39,11513.16,-10471.77,0,-10471.77,High Profit,5.650313016,Medium Efficiency,Amazon_Sales
18-03-2024,35966.52,28503.21,22580.35,22076.16,109126.24,75,1455.02,32862.08,76264.17,44045.56,32218.6,17196.43,11576.19,1745.11,13321.3,1700.87,11513.16,-9812.28,0,-9812.28,High Profit,5.724979544,High Efficiency,Amazon_Sales
19-03-2024,48340.34,23744.36,21790.76,19515.91,113391.38,78,1453.74,34146.47,79244.91,45767.06,33477.85,19471.39,12483.85,1542.73,14026.57,-20.11,11513.16,-11533.27,0,-11533.27,Medium Profit,5.649628526,Medium Efficiency,Amazon_Sales
20-03-2024,48951.43,30628.36,23805.37,22374.06,125759.21,86,1462.32,37870.9,87888.32,50758.97,37129.35,21363.49,13748.47,1768.66,15517.14,248.72,11513.16,-11264.44,0,-11264.44,Medium Profit,5.66395096,Medium Efficiency,Amazon_Sales
21-03-2024,36725.91,23651.85,23183.25,20861.51,104422.52,72,1450.31,31445.61,72976.92,42147.05,30829.87,16196.22,11112.2,1649.1,12761.3,1872.35,11513.16,-9640.8,0,-9640.8,High Profit,5.71861174,High Efficiency,Amazon_Sales
22-03-2024,35557.82,29208.97,25501.93,21403.14,111671.85,77,1450.28,33628.66,78043.2,45073.02,32970.17,17258.43,12004.21,1691.91,13696.12,2015.62,11513.16,-9497.54,0,-9497.54,High Profit,5.698197738,High Efficiency,Amazon_Sales
23-03-2024,61676.14,36798.09,25131.66,35526.71,159132.59,109,1459.93,47920.9,111211.7,64229.14,46982.56,26468.84,16437.49,2808.38,19245.87,1267.85,11513.16,-10245.31,0,-10245.31,High Profit,5.778470913,High Efficiency,Amazon_Sales
24-03-2024,57688.31,43273.99,37659.83,28873.61,167495.73,115,1456.48,50439.36,117056.38,67604.67,49451.7,26971.22,18434.39,2282.45,20716.85,1763.63,11513.16,-9749.52,0,-9749.52,High Profit,5.650298187,Medium Efficiency,Amazon_Sales
25-03-2024,52800.09,31575.6,19812.08,17013.02,121200.79,83,1460.25,36498.18,84702.61,48919.1,35783.51,22677.93,13855.21,1344.87,15200.08,-2094.5,11513.16,-13607.66,0,-13607.66,Low Profit,5.572510803,Low Efficiency,Amazon_Sales
26-03-2024,48896.78,24239.48,24759.91,22340.87,120237.04,82,1466.31,36207.96,84029.08,48530.11,35498.97,19750.97,13018.53,1766.04,14784.57,963.43,11513.16,-10549.73,0,-10549.73,High Profit,5.683566042,High Efficiency,Amazon_Sales
27-03-2024,48707.63,28872.65,18472.65,18600.97,114653.9,79,1451.32,34526.67,80127.24,46276.64,33850.6,20856.3,12773.41,1470.4,14243.81,-1249.51,11513.16,-12762.67,0,-12762.67,Medium Profit,5.625407809,Medium Efficiency,Amazon_Sales
28-03-2024,52854.6,29960.57,21899.33,21157.59,125872.1,86,1463.63,37904.89,87967.21,50804.53,37162.68,22289.43,13925.25,1672.5,15597.76,-724.51,11513.16,-12237.67,0,-12237.67,Medium Profit,5.639733526,Medium Efficiency,Amazon_Sales
29-03-2024,49652.84,24034.77,15827.46,17346.15,106861.23,73,1463.85,32179.99,74681.23,43131.36,31549.88,19911.49,11903.99,1371.21,13275.2,-1636.81,11513.16,-13149.97,0,-13149.97,Low Profit,5.625619953,Medium Efficiency,Amazon_Sales
30-03-2024,53031.41,34438.01,40234.85,31602.76,159307.04,109,1461.53,47973.43,111333.61,64299.55,47034.06,23458.3,16982.5,2498.19,19480.7,4095.06,11513.16,-7418.09,0,-7418.09,High Profit,5.715072354,High Efficiency,Amazon_Sales
31-03-2024,55268.06,45224.33,26437.24,25299.2,152228.83,105,1449.8,45841.91,106386.92,61442.64,44944.28,26781.14,16879.49,1999.9,18879.39,-716.25,11513.16,-12229.4,0,-12229.4,Medium Profit,5.635082489,Medium Efficiency,Amazon_Sales
01-04-2024,45462.88,29809.89,17526.68,16250.87,109050.32,75,1454,32839.21,76211.11,44014.92,32196.19,20182.08,12340.75,1284.63,13625.38,-1611.27,11513.16,-13124.43,0,-13124.43,Low Profit,5.593319966,Low Efficiency,Amazon_Sales
02-04-2024,44876.44,32656.79,19290.97,15261.27,112085.47,77,1455.66,33753.21,78332.26,45239.97,33092.29,20729.6,12875.98,1206.4,14082.38,-1719.69,11513.16,-13232.85,0,-13232.85,Low Profit,5.562430498,Low Efficiency,Amazon_Sales
03-04-2024,48493.14,32928.23,25009.76,15486.2,121917.33,84,1451.4,36713.96,85203.37,49208.31,35995.06,21810.14,14153.54,1224.18,15377.72,-1192.79,11513.16,-12705.95,0,-12705.95,Medium Profit,5.540702393,Low Efficiency,Amazon_Sales
04-04-2024,45661.08,28709.87,22256.47,22559.75,119187.17,82,1453.5,35891.8,83295.36,48106.36,35189.01,19962.57,12849.81,1783.34,14633.15,593.29,11513.16,-10919.87,0,-10919.87,Medium Profit,5.692237146,High Efficiency,Amazon_Sales
05-04-2024,44540.42,21130.65,23889.64,19429.42,108990.14,75,1453.2,32821.09,76169.05,43990.63,32178.42,17753.98,11910.06,1535.89,13445.95,978.49,11513.16,-10534.67,350000,-360534.67,High Profit,5.664832161,Medium Efficiency,Amazon_Sales
06-04-2024,55642.42,42327.87,27067.64,33683.75,158721.68,109,1456.16,47797.15,110924.52,64063.29,46861.24,26161.84,16627.93,2662.69,19290.62,1408.77,11513.16,-10104.38,0,-10104.38,High Profit,5.750179103,High Efficiency,Amazon_Sales
07-04-2024,54919.44,42895.45,27129.74,28515.87,153460.51,105,1461.53,46212.82,107247.69,61939.77,45307.92,26101.31,16615.52,2254.17,18869.69,336.92,11513.16,-11176.23,0,-11176.23,Medium Profit,5.683595756,High Efficiency,Amazon_Sales
08-04-2024,41922.34,31113.92,23564.89,22635.14,119236.29,82,1454.1,35906.6,83329.69,48126.18,35203.51,19516.74,12846.32,1789.3,14635.62,1051.15,11513.16,-10462,0,-10462,High Profit,5.693622136,High Efficiency,Amazon_Sales
09-04-2024,43508.22,31132.3,20719.36,16963.08,112322.96,77,1458.74,33824.73,78498.23,45335.83,33162.41,19965.38,12681.25,1340.93,14022.18,-825.14,11513.16,-12338.3,0,-12338.3,Medium Profit,5.598147364,Medium Efficiency,Amazon_Sales
10-04-2024,33700.89,22352.03,20612.24,19837.41,96502.56,66,1462.16,29060.6,67441.96,38950.39,28491.57,15024.26,10195.17,1568.14,11763.31,1704,11513.16,-9809.15,0,-9809.15,High Profit,5.73324685,High Efficiency,Amazon_Sales
11-04-2024,40801.41,23887.35,22294.02,14150.7,101133.48,69,1465.7,30455.15,70678.33,40819.52,29858.81,17396.23,11567.24,1118.61,12685.85,-223.27,11513.16,-11736.43,0,-11736.43,Medium Profit,5.571430373,Low Efficiency,Amazon_Sales
