Month,Website_Sales,Amazon_Sales,Flipkart_Sales,COGS,Operating_Expenses,Ad_Spend,Platform_Fees,Loan_Amount,Loan_Repayment,Interest_Expense,Total_Revenue,Total_Expenses,Net_Cash_Flow,Debt_to_Equity,Profit_Margin,Debt_Risk_Label,Cashflow_Stability_Label
29-02-2020,531868,262396,224302,163689,56587,63894,48523,603910,24230,14172,1018566,371095,647471,0.71,0.64,Low,Stable
30-06-2052,753020,466040,282041,576150,112790,26869,35163,684547,22995,11878,1501101,785845,715256,0.74,0.48,Low,Stable
28-02-2067,617170,314432,113866,183276,81480,81078,27718,298073,26784,12411,1045468,412747,632721,0.35,0.61,Low,Stable
31-10-2028,257108,239999,185400,251968,73569,76759,31972,324036,14605,19465,682507,468338,214169,0.75,0.31,Low,Stable
30-04-2084,680721,455824,217488,563089,61151,64306,28231,675899,17463,5448,1354033,739688,614345,0.85,0.45,Low,Stable
30-06-2088,311195,458690,152516,425194,94739,75371,49619,318774,8419,19642,922401,672984,249417,0.64,0.27,Low,Stable
30-09-2059,236668,179973,266987,216216,82954,40918,22126,221711,47952,2107,683628,412273,271355,0.47,0.4,Low,Stable
31-07-2078,485205,425593,374746,365516,159373,48379,33595,486626,33837,7928,1285544,648628,636916,0.53,0.5,Low,Stable
30-06-2053,541396,209834,269139,496184,84700,22962,22118,926719,5263,15234,1020369,646461,373908,1.77,0.37,Medium,Stable
31-10-2080,764037,336386,238588,171644,173728,33851,13317,170457,48877,19317,1339011,460734,878277,0.15,0.66,Low,Stable
30-04-2066,330560,387681,209295,212021,116788,65747,49828,655313,40719,16310,927536,501413,426123,0.92,0.46,Low,Stable
30-06-2033,566824,439720,167969,318197,121045,72349,25504,611868,45687,19213,1174513,601995,572518,0.71,0.49,Low,Stable
31-10-2036,347979,207522,212161,192291,194972,90832,13057,339606,34131,13528,767662,538811,228851,0.59,0.3,Low,Stable
31-10-2099,349849,122612,285735,578276,177992,76356,36660,637684,37276,13313,758196,919873,-161677,3.54,-0.21,High,Unstable
31-12-2102,251745,325049,221559,544754,130059,34745,47196,359181,34523,1559,798353,792836,5517,1.42,0.01,Medium,Stable
30-06-2042,570608,368615,342299,579392,51881,25730,10402,95310,519,18125,1281522,686049,595473,0.14,0.46,Low,Stable
30-11-2091,291865,266703,203950,453664,182702,33921,18605,156080,31106,15167,762518,735165,27353,0.51,0.04,Low,Stable
31-12-2087,412890,340069,156229,175675,70789,91138,25761,311072,44504,15343,909188,423210,485978,0.42,0.53,Low,Stable
31-07-2042,223624,323131,184648,299359,176083,39023,37043,738456,10514,5830,731403,567852,163551,1.71,0.22,Medium,Stable
31-12-2057,223321,131348,118547,412318,138059,65349,43635,89876,47456,7523,473216,714340,-241124,1.48,-0.51,Medium,Unstable
30-06-2058,603704,295804,108795,242268,96151,61979,23779,549264,7233,17009,1008303,448419,559884,0.72,0.56,Low,Stable
31-07-2080,374293,363321,266368,447142,159388,42837,25155,769302,1102,18074,1003982,693698,310284,1.38,0.31,Medium,Stable
31-12-2040,386717,235832,101447,334384,53262,34997,43132,387128,597,15524,723996,481896,242100,0.99,0.33,Low,Stable
30-06-2078,580975,394923,247670,555328,116981,65039,33851,682986,46715,13285,1223568,831199,392369,1.02,0.32,Medium,Stable
31-08-2044,383868,383780,301823,255410,170951,40923,25366,360400,19657,10973,1069471,523280,546191,0.44,0.51,Low,Stable
31-05-2080,295257,181889,336190,487369,173099,28876,38408,362681,45009,3006,813336,775767,37569,1.11,0.05,Medium,Stable
31-12-2079,788579,153551,286402,456958,131972,80973,16571,190861,38549,4302,1228532,729325,499207,0.25,0.41,Low,Stable
31-05-2082,410176,242635,332419,497235,125485,22887,24017,922204,43565,17472,985230,730661,254569,1.89,0.26,Medium,Stable
29-02-2048,390471,146819,309817,462863,104722,83723,49236,633619,6256,4611,847107,711411,135696,1.65,0.16,Medium,Stable
31-03-2093,672930,435914,135077,279887,139499,62422,14150,719005,43148,9372,1243921,548478,695443,0.75,0.56,Low,Stable
31-05-2024,718862,312781,192782,446063,56901,71413,29423,251666,29401,14080,1224425,647281,577144,0.32,0.47,Low,Stable
31-12-2085,675774,258059,182932,485299,167473,22841,14137,990900,41548,15082,1116765,746380,370385,1.57,0.33,Medium,Stable
31-10-2096,339789,440858,390925,483713,58597,48756,39992,269670,6554,14641,1171572,652253,519319,0.39,0.44,Low,Stable
31-01-2038,589593,289420,266339,453472,179631,91576,38902,628151,12664,10093,1145352,786338,359014,0.91,0.31,Low,Stable
31-08-2083,273686,124596,395942,351554,113909,30304,23833,957004,42367,8378,794224,570345,223879,2.16,0.28,High,Stable
31-08-2035,267661,426250,178696,436762,122391,50341,11381,199121,48279,1597,872607,670751,201856,0.46,0.23,Low,Stable
31-08-2051,768535,159182,130939,184675,189335,24758,18154,335510,24386,11600,1058656,452908,605748,0.38,0.57,Low,Stable
31-01-2061,445121,449307,371660,431063,113293,37010,44235,997821,4846,3747,1266088,634194,631894,1.19,0.5,Medium,Stable
31-05-2023,567257,401454,267598,416317,61874,80758,23439,452333,26205,13879,1236309,622472,613837,0.55,0.5,Low,Stable
31-01-2033,466765,418232,221521,521513,136402,51658,29122,56096,25570,19054,1106518,783319,323199,0.1,0.29,Low,Stable
31-03-2021,346106,228803,130290,438544,64079,69002,33956,663270,30255,13017,705199,648853,56346,2.49,0.08,High,Stable
30-09-2087,458930,239978,364890,331517,122779,21375,27264,998887,21182,18964,1063798,543081,520717,1.36,0.49,Medium,Stable
31-05-2025,648874,399058,147990,220305,145408,42092,13149,857617,39373,7432,1195922,467759,728163,0.88,0.61,Low,Stable
31-05-2091,762926,472494,138810,318636,190090,20490,34660,50248,43019,18890,1374230,625785,748445,0.05,0.54,Low,Stable
30-11-2089,318033,145379,198362,589030,170606,23729,30528,205728,16043,4725,661774,834661,-172887,2.83,-0.26,High,Unstable
31-05-2063,366926,345900,226295,238791,170062,25974,11168,919455,45532,10437,939121,501964,437157,1.31,0.47,Medium,Stable
31-08-2048,770559,358517,213669,309034,62100,41398,45897,982716,35754,13269,1342745,507452,835293,0.95,0.62,Low,Stable
30-09-2030,631734,408557,276749,220533,107021,54650,25032,993205,400,13092,1317040,420728,896312,0.91,0.68,Low,Stable
31-12-2073,573220,237084,344803,337256,178126,41292,45294,79888,19239,7002,1155107,628209,526898,0.1,0.46,Low,Stable
30-04-2059,421897,281187,166516,515735,142446,23159,13516,206354,10416,6131,869600,711403,158197,0.58,0.18,Low,Stable
31-03-2025,201062,369295,154567,291650,79437,82766,29751,240346,3412,13261,724924,500277,224647,0.55,0.31,Low,Stable
31-07-2031,447736,157716,357181,281060,70862,37065,40373,618821,16440,12612,962633,458412,504221,0.91,0.52,Low,Stable
31-07-2061,774736,455891,206498,299696,61669,41638,40270,41954,24406,4537,1437125,472216,964909,0.04,0.67,Low,Stable
31-05-2069,295462,323725,257810,451338,171219,21073,20386,351863,1875,13091,876997,678982,198015,0.83,0.23,Low,Stable
31-08-2052,599445,267450,92109,522047,65916,66511,46323,664164,37066,2335,959004,740198,218806,1.52,0.23,Medium,Stable
31-03-2076,650009,273724,364154,543605,60878,49320,24157,748065,36536,4321,1287887,718817,569070,1.01,0.44,Medium,Stable
30-11-2054,772203,303502,350931,511447,52985,89876,47879,262739,5752,13254,1426636,721193,705443,0.29,0.49,Low,Stable
31-01-2044,466776,244539,319472,392188,91235,54924,49520,291736,21217,19369,1030787,628453,402334,0.46,0.39,Low,Stable
31-07-2051,571923,221999,219544,526047,68931,60734,49132,564931,12489,559,1013466,717892,295574,1.16,0.29,Medium,Stable
31-05-2084,599384,214793,326183,479535,142876,88116,13626,254793,1353,713,1140360,726219,414141,0.39,0.36,Low,Stable
31-10-2060,731849,470321,234455,387501,50336,60025,30400,324809,26986,4593,1436625,559841,876784,0.31,0.61,Low,Stable
31-03-2039,667010,112289,324325,557010,92933,22159,46643,938327,21371,15184,1103624,755300,348324,1.72,0.32,Medium,Stable
31-05-2023,586193,276048,114518,470146,95536,68940,48265,268116,39365,15261,976759,737513,239246,0.53,0.24,Low,Stable
30-04-2022,226734,274668,133909,447675,119504,99436,25979,278026,14691,256,635311,707541,-72230,1.48,-0.11,Medium,Unstable
31-03-2031,226069,331513,360495,333887,149214,96976,21529,721754,4311,14574,918077,620491,297586,1.24,0.32,Medium,Stable
30-09-2036,737198,357368,280696,154986,163936,34678,26645,464271,48075,37,1375262,428357,946905,0.38,0.69,Low,Stable
31-12-2089,535623,186365,95282,444442,66279,81075,36424,679129,10794,10264,817270,649278,167992,1.82,0.21,Medium,Stable
31-12-2084,670951,330662,319017,413625,153751,67204,23382,549308,2934,12697,1320630,673593,647037,0.61,0.49,Low,Stable
30-06-2097,281264,476158,347219,468552,154433,32021,14025,960252,16406,8652,1104641,694089,410552,1.51,0.37,Medium,Stable
30-09-2022,223275,275211,259526,350339,121386,26772,23844,364765,10394,15930,758012,548665,209347,0.89,0.28,Low,Stable
31-12-2023,796562,279785,108365,271950,136124,87163,14175,871806,26872,1832,1184712,538116,646596,0.96,0.55,Low,Stable
30-11-2061,674665,172588,353146,560051,155750,93755,40519,44912,41708,15517,1200399,907300,293099,0.07,0.24,Low,Stable
30-11-2053,562920,163646,356091,275355,127485,43464,19174,12879,49956,5167,1082657,520601,562056,0.02,0.52,Low,Stable
31-10-2067,391076,365798,290294,177798,124055,71137,13443,558086,41093,432,1047168,427958,619210,0.64,0.59,Low,Stable
31-08-2080,394053,380887,196219,241649,141911,50232,31395,632079,20800,4151,971159,490138,481021,0.87,0.5,Low,Stable
31-01-2087,772735,410512,394286,477031,148618,81497,20725,483042,43397,14912,1577533,786180,791353,0.44,0.5,Low,Stable
31-03-2028,799991,321097,136307,169477,163892,94024,43461,701433,37909,6411,1257395,515174,742221,0.64,0.59,Low,Stable
31-12-2076,312581,305244,215565,560482,121128,71448,41351,337935,21352,18135,833390,833896,-506,1.24,0,Medium,Unstable
31-08-2092,465956,499657,335095,367400,199180,20901,28196,853415,36439,256,1300708,652372,648336,0.91,0.5,Low,Stable
30-06-2080,621240,219735,392229,367060,102495,22881,24254,960509,28312,671,1233204,545673,687531,1.11,0.56,Medium,Stable
31-03-2102,316421,255683,114228,539959,132806,49863,24021,487947,40060,489,686332,787198,-100866,3.33,-0.15,High,Unstable
31-07-2065,725893,482035,290748,586742,143185,25622,15724,658210,15438,6889,1498676,793600,705076,0.72,0.47,Low,Stable
31-01-2100,664374,207971,123472,539570,99649,21378,38690,159472,23385,11906,995817,734578,261239,0.35,0.26,Low,Stable
31-07-2081,272303,112149,391581,555105,145402,91186,11407,798385,44999,18480,776033,866579,-90546,3.61,-0.12,High,Unstable
31-01-2071,358211,462246,217888,436479,80676,65201,18032,630698,18482,18066,1038345,636936,401409,1.05,0.39,Medium,Stable
31-07-2098,387210,421333,157175,554470,114093,79251,27794,649443,32471,12603,965718,820682,145036,1.58,0.15,Medium,Stable
30-06-2058,344990,338976,144307,498754,129414,92572,29881,154607,47279,2460,828273,800360,27913,0.47,0.03,Low,Stable
31-07-2073,358518,433175,388877,423586,143095,59255,30756,730896,43877,4529,1180570,705098,475472,0.97,0.4,Low,Stable
31-01-2084,324040,142668,175028,458433,122307,83212,39416,468255,41212,1975,641736,746555,-104819,2.55,-0.16,High,Unstable
31-05-2020,723138,188204,222312,465891,145432,70210,35752,252712,48373,3216,1133654,768874,364780,0.38,0.32,Low,Stable
28-02-2038,618034,311830,172493,449471,81923,42499,22926,867461,13026,14267,1102357,624112,478245,1.33,0.43,Medium,Stable
30-11-2061,740677,296501,205149,559415,167449,71628,43765,4055,42089,9581,1242327,893927,348400,0.01,0.28,Low,Stable
30-11-2083,503571,265140,309416,484971,97574,81360,24390,300314,19648,4515,1078127,712458,365669,0.51,0.34,Low,Stable
28-02-2053,322883,319861,282435,256464,171757,24603,48867,229016,5435,12048,925179,519174,406005,0.34,0.44,Low,Stable
31-07-2092,587952,240507,243834,281184,103664,32632,31939,762945,8493,9776,1072293,467688,604605,0.96,0.56,Low,Stable
31-03-2086,312221,325160,350403,237051,117384,50607,37307,886408,6691,2963,987784,452003,535781,1.18,0.54,Medium,Stable
30-09-2052,460669,283321,261211,300653,81027,85756,40828,290395,2763,6786,1005201,517813,487388,0.41,0.48,Low,Stable
31-03-2037,725134,137384,356993,395300,84485,66994,38513,922036,20389,13866,1219511,619547,599964,1.12,0.49,Medium,Stable
31-03-2021,735242,181929,397013,209722,85554,83382,34502,660284,31498,6200,1314184,450858,863326,0.6,0.66,Low,Stable
30-06-2091,541383,490103,143095,242036,96922,90354,40063,48037,36009,17360,1174581,522744,651837,0.05,0.55,Low,Stable
28-02-2066,444761,176153,197886,378634,63409,76344,32486,995586,35825,7345,818800,594043,224757,2.26,0.27,High,Stable
30-04-2094,337541,335128,365711,297595,86639,73775,48258,92115,16934,45,1038380,523246,515134,0.12,0.5,Low,Stable
31-05-2058,264323,175388,115292,479104,69692,27349,41692,989125,5574,1193,555003,624604,-69601,13.03,-0.13,High,Unstable
31-07-2077,389139,131401,154813,398709,139037,91154,48384,864358,38179,4512,675353,719975,-44622,3.12,-0.07,High,Unstable
30-11-2067,380448,302903,177136,431696,68074,47464,25958,472032,1587,16630,860487,591409,269078,1.1,0.31,Medium,Stable
31-12-2091,435659,219503,131631,291880,196621,62624,45016,482870,42782,19603,786793,658526,128267,0.98,0.16,Low,Stable
30-11-2081,589678,332601,89885,385419,79963,57344,27232,70400,38688,8983,1012164,597629,414535,0.11,0.41,Low,Stable
31-01-2040,304537,227834,265378,304692,102265,44299,20748,623813,11688,636,797749,484328,313421,1.27,0.39,Medium,Stable
31-12-2066,441983,134084,129812,413031,66061,67975,20514,363308,4409,3775,705879,575765,130114,1.24,0.18,Medium,Stable
31-12-2027,766821,351459,261572,443946,163502,21462,32738,223457,5783,2421,1379852,669852,710000,0.24,0.51,Low,Stable
31-12-2094,201917,210641,124900,235024,72800,60581,18695,748462,33480,13025,537458,433605,103853,2.47,0.19,High,Stable
28-02-2081,482762,205111,358432,395809,166192,91289,18070,141774,26751,9280,1046305,707391,338914,0.22,0.32,Low,Stable
31-05-2060,756542,238299,152692,268639,157228,34175,37765,893164,38174,4183,1147533,540164,607369,1.02,0.53,Medium,Stable
30-11-2053,567436,262982,307208,530392,78054,26191,40761,15385,12041,11351,1137626,698790,438836,0.03,0.39,Low,Stable
31-03-2039,709930,398185,126403,231938,63233,86537,26698,795768,23227,17096,1234518,448729,785789,0.79,0.64,Low,Stable
31-05-2082,771650,451064,171170,367813,115727,67645,25123,851853,35201,5323,1393884,616832,777052,0.83,0.56,Low,Stable
31-07-2074,482272,427825,351312,402100,140610,43283,45144,948729,36069,12888,1261409,680094,581315,1.1,0.46,Medium,Stable
31-03-2034,585925,334386,392023,534890,120453,79123,35616,560309,16654,3644,1312334,790380,521954,0.72,0.4,Low,Stable
31-01-2065,789833,443715,139871,438193,154135,50024,47146,921286,26370,16142,1373419,732010,641409,0.99,0.47,Low,Stable
31-12-2022,282180,296553,112174,489933,158464,69630,21182,508670,29482,7773,690907,776464,-85557,2.53,-0.12,High,Unstable
30-09-2063,603081,360337,310823,234526,63682,50734,34833,117369,11586,10778,1274241,406139,868102,0.11,0.68,Low,Stable
30-04-2033,501953,227556,303563,551062,108160,20515,43342,744990,5322,12501,1033072,740902,292170,1.55,0.28,Medium,Stable
30-11-2089,578892,295246,217653,196220,73666,86727,41331,573399,13932,14409,1091791,426285,665506,0.64,0.61,Low,Stable
31-03-2078,205287,126160,190155,458307,108817,66216,36128,89402,29299,2108,521602,700875,-179273,1.41,-0.34,Medium,Unstable
31-03-2040,457665,346242,391822,546981,141198,91833,41556,644062,25179,3614,1195729,850361,345368,0.99,0.29,Low,Stable
28-02-2027,208512,117633,368793,529270,91830,78755,31969,253724,5257,10251,694938,747332,-52394,1.53,-0.08,Medium,Unstable
30-04-2086,656292,379158,207795,493630,60234,47856,31876,739945,46501,11678,1243245,691775,551470,0.99,0.44,Low,Stable
29-02-2068,308872,442676,168668,588486,107616,93870,18949,829151,46136,14367,920216,869424,50792,2.5,0.06,High,Stable
31-10-2076,293070,149104,293397,225277,59221,44162,34518,227600,9777,4332,735571,377287,358284,0.45,0.49,Low,Stable
31-05-2066,629474,439375,225639,516389,192482,26008,15670,704397,11249,12002,1294488,773800,520688,0.91,0.4,Low,Stable
31-10-2067,242078,168388,319141,272332,51051,27987,34099,473319,21390,15700,729607,422559,307048,1.04,0.42,Medium,Stable
