Date,Revenue,Loan_Proceeds,CapEx,Loan_Payment,Interest_Expense,COGS,Salaries,Marketing,Rent,Region,Gross_Profit,Total_OpEx,Operating_Income (EBIT),Net_Income,Daily_Cash_Flow,Cumulative_Cash_Flow
2024-04-07,6501.21,0.0,0,0.0,0.0,3502.31,4019.4,520.1,2500,North,2998.9,7039.5,-4040.6,-4040.6,-4040.6,-391857.28
2024-04-08,6863.69,0.0,0,0.0,0.0,3702.01,4019.6,549.1,2500,North,3161.68,7068.7,-3907.02,-3907.02,-3907.02,-395764.3
2024-04-09,6401.59,0.0,0,0.0,0.0,3238.23,4019.8,512.13,2500,North,3163.36,7031.93,-3868.57,-3868.57,-3868.57,-399632.86
2024-04-10,6926.24,0.0,0,0.0,0.0,3535.41,4020.0,554.1,2500,North,3390.83,7074.1,-3683.27,-3683.27,-3683.27,-403316.14
2024-04-11,6499.3,0.0,0,0.0,0.0,3572.08,4020.2,519.94,2500,North,2927.22,7040.14,-4112.92,-4112.92,-4112.92,-407429.06
2024-04-12,6893.49,0.0,0,0.0,0.0,3717.69,4020.4,551.48,2500,North,3175.8,7071.88,-3896.08,-3896.08,-3896.08,-411325.14
2024-04-13,6736.9,0.0,0,0.0,0.0,3451.91,4020.6,538.95,2500,North,3284.99,7059.55,-3774.56,-3774.56,-3774.56,-415099.7
2024-04-14,7118.33,0.0,0,0.0,0.0,3879.88,4020.8,569.47,2500,North,3238.45,7090.27,-3851.82,-3851.82,-3851.82,-418951.52
2024-04-15,7564.77,0.0,0,0.0,0.0,3969.05,4021.0,605.18,2500,North,3595.72,7126.18,-3530.46,-3530.46,-3530.46,-422481.98
2024-04-16,6391.8,0.0,0,0.0,0.0,3328.39,4021.2,511.34,2500,North,3063.42,7032.54,-3969.13,-3969.13,-3969.13,-426451.1
2024-04-17,7010.6,0.0,0,0.0,0.0,3685.99,4021.4,560.85,2500,North,3324.6,7082.25,-3757.64,-3757.64,-3757.64,-430208.75
2024-04-18,6799.31,0.0,0,0.0,0.0,3617.66,4021.6,543.94,2500,North,3181.65,7065.54,-3883.89,-3883.89,-3883.89,-434092.64
2024-04-19,7315.94,0.0,0,0.0,0.0,3790.64,4021.8,585.27,2500,North,3525.3,7107.07,-3581.78,-3581.78,-3581.78,-437674.42
2024-04-20,7151.09,0.0,500,0.0,0.0,3839.33,4022.0,572.09,2500,North,3311.76,7094.09,-3782.33,-3782.33,-4282.33,-441956.74
2024-04-21,7447.2,0.0,0,0.0,0.0,4075.64,4022.2,595.78,2500,North,3371.56,7117.98,-3746.41,-3746.41,-3746.41,-445703.16
2024-04-22,6963.32,0.0,0,0.0,0.0,3526.9,4022.4,557.07,2500,North,3436.42,7079.47,-3643.05,-3643.05,-3643.05,-449346.21
2024-04-23,7128.25,0.0,0,0.0,0.0,3760.15,4022.6,570.26,2500,North,3368.09,7092.86,-3724.77,-3724.77,-3724.77,-453070.97
2024-04-24,6515.95,0.0,0,0.0,0.0,3265.55,4022.8,521.28,2500,North,3250.4,7044.08,-3793.68,-3793.68,-3793.68,-456864.65
2024-04-25,6886.27,0.0,0,0.0,0.0,3483.54,4023.0,550.9,2500,North,3402.73,7073.9,-3671.17,-3671.17,-3671.17,-460535.82
2024-04-26,6359.58,0.0,0,0.0,0.0,3282.36,4023.2,508.77,2500,North,3077.22,7031.97,-3954.74,-3954.74,-3954.74,-464490.57
2024-04-27,7240.09,0.0,0,0.0,0.0,3814.14,4023.4,579.21,2500,North,3425.95,7102.61,-3676.66,-3676.66,-3676.66,-468167.22
2024-04-28,7590.37,0.0,0,0.0,0.0,4063.29,4023.6,607.23,2500,North,3527.08,7130.83,-3603.75,-3603.75,-3603.75,-471770.98
2024-04-29,7908.67,0.0,0,0.0,0.0,4185.69,4023.8,632.69,2500,North,3722.97,7156.49,-3433.52,-3433.52,-3433.52,-475204.5
2024-04-30,6162.91,0.0,0,0.0,0.0,3362.99,4024.0,493.03,2500,North,2799.92,7017.03,-4217.11,-4217.11,-4217.11,-479421.61
2024-05-01,7905.95,0.0,0,0.0,0.0,4147.57,4024.2,632.48,2500,North,3758.38,7156.68,-3398.3,-3398.3,-3398.3,-482819.91
2024-05-02,7263.27,0.0,0,0.0,0.0,3984.16,4024.4,581.06,2500,North,3279.11,7105.46,-3826.35,-3826.35,-3826.35,-486646.26
2024-05-03,7324.67,0.0,0,0.0,0.0,3766.4,4024.6,585.97,2500,North,3558.27,7110.57,-3552.3,-3552.3,-3552.3,-490198.57
2024-05-04,6360.24,0.0,0,0.0,0.0,3262.98,4024.8,508.82,2500,North,3097.26,7033.62,-3936.36,-3936.36,-3936.36,-494134.93
2024-05-05,7541.55,0.0,0,0.0,0.0,4074.45,4025.0,603.32,2500,North,3467.1,7128.32,-3661.23,-3661.23,-3661.23,-497796.16
2024-05-06,7402.52,0.0,0,0.0,0.0,3731.94,4025.2,592.2,2500,North,3670.59,7117.4,-3446.82,-3446.82,-3446.82,-501242.97
2024-05-07,6865.45,0.0,0,0.0,0.0,3667.64,4025.4,549.24,2500,North,3197.81,7074.64,-3876.82,-3876.82,-3876.82,-505119.8
2024-05-08,6452.9,0.0,0,0.0,0.0,3331.81,4025.6,516.23,2500,North,3121.1,7041.83,-3920.74,-3920.74,-3920.74,-509040.53
2024-05-09,7203.78,0.0,0,0.0,0.0,3700.68,4025.8,576.3,2500,North,3503.09,7102.1,-3599.01,-3599.01,-3599.01,-512639.54
2024-05-10,7317.81,0.0,0,0.0,0.0,3667.47,4026.0,585.42,2500,North,3650.33,7111.42,-3461.09,-3461.09,-3461.09,-516100.63
2024-05-11,7702.81,0.0,0,0.0,0.0,3991.19,4026.2,616.22,2500,North,3711.62,7142.42,-3430.81,-3430.81,-3430.81,-519531.44
2024-05-12,7151.02,0.0,0,0.0,0.0,3714.63,4026.4,572.08,2500,North,3436.39,7098.48,-3662.09,-3662.09,-3662.09,-523193.53
2024-05-13,7700.86,0.0,0,0.0,0.0,4118.12,4026.6,616.07,2500,North,3582.74,7142.67,-3559.93,-3559.93,-3559.93,-526753.46
2024-05-14,6569.6,0.0,0,0.0,0.0,3537.52,4026.8,525.57,2500,North,3032.08,7052.37,-4020.28,-4020.28,-4020.28,-530773.74
2024-05-15,7584.98,0.0,0,0.0,0.0,3843.78,4027.0,606.8,2500,North,3741.2,7133.8,-3392.6,-3392.6,-3392.6,-534166.34
2024-05-16,7442.91,0.0,0,0.0,0.0,3736.64,4027.2,595.43,2500,North,3706.27,7122.63,-3416.36,-3416.36,-3416.36,-537582.7
2024-05-17,7162.52,0.0,0,0.0,0.0,3847.21,4027.4,573.0,2500,North,3315.3,7100.4,-3785.1,-3785.1,-3785.1,-541367.79
2024-05-18,6815.26,0.0,0,0.0,0.0,3671.8,4027.6,545.22,2500,North,3143.46,7072.82,-3929.36,-3929.36,-3929.36,-545297.15
2024-05-19,8136.36,0.0,0,0.0,0.0,4247.19,4027.8,650.91,2500,North,3889.18,7178.71,-3289.53,-3289.53,-3289.53,-548586.69
2024-05-20,7907.73,0.0,0,0.0,0.0,4330.04,4028.0,632.62,2500,North,3577.7,7160.62,-3582.92,-3582.92,-3582.92,-552169.61
2024-05-21,7332.16,0.0,0,0.0,0.0,3931.5,4028.2,586.57,2500,North,3400.66,7114.77,-3714.11,-3714.11,-3714.11,-555883.72
2024-05-22,8179.09,0.0,0,0.0,0.0,4375.08,4028.4,654.33,2500,North,3804.01,7182.73,-3378.72,-3378.72,-3378.72,-559262.44
2024-05-23,6940.42,0.0,0,0.0,0.0,3783.48,4028.6,555.23,2500,North,3156.94,7083.83,-3926.89,-3926.89,-3926.89,-563189.33
2024-05-24,7878.74,0.0,500,0.0,0.0,3971.56,4028.8,630.3,2500,North,3907.18,7159.1,-3251.92,-3251.92,-3751.92,-566941.25
2024-05-25,7084.16,0.0,0,0.0,0.0,3866.89,4029.0,566.73,2500,North,3217.27,7095.73,-3878.46,-3878.46,-3878.46,-570819.71
2024-05-26,7087.08,0.0,0,0.0,0.0,3830.81,4029.2,566.97,2500,North,3256.27,7096.17,-3839.9,-3839.9,-3839.9,-574659.61
2024-05-27,7719.99,0.0,0,0.0,0.0,3965.82,4029.4,617.6,2500,North,3754.17,7147.0,-3392.83,-3392.83,-3392.83,-578052.44
2024-05-28,7556.05,0.0,0,0.0,0.0,4073.51,4029.6,604.48,2500,North,3482.55,7134.08,-3651.54,-3651.54,-3651.54,-581703.97
2024-05-29,7476.87,0.0,0,0.0,0.0,3825.45,4029.8,598.15,2500,North,3651.43,7127.95,-3476.52,-3476.52,-3476.52,-585180.5
2024-05-30,7509.29,0.0,0,0.0,0.0,4008.44,4030.0,600.74,2500,North,3500.85,7130.74,-3629.89,-3629.89,-3629.89,-588810.39
2024-05-31,8133.91,0.0,0,0.0,0.0,4220.98,4030.2,650.71,2500,North,3912.93,7180.91,-3267.99,-3267.99,-3267.99,-592078.38
2024-06-01,6993.39,0.0,0,0.0,0.0,3523.17,4030.4,559.47,2500,North,3470.21,7089.87,-3619.66,-3619.66,-3619.66,-595698.03
2024-06-02,6896.01,0.0,0,0.0,0.0,3720.93,4030.6,551.68,2500,North,3175.08,7082.28,-3907.2,-3907.2,-3907.2,-599605.24
2024-06-03,7975.25,0.0,0,0.0,0.0,4011.72,4030.8,638.02,2500,North,3963.53,7168.82,-3205.29,-3205.29,-3205.29,-602810.52
2024-06-04,8080.52,0.0,0,0.0,0.0,4379.87,4031.0,646.44,2500,North,3700.65,7177.44,-3476.79,-3476.79,-3476.79,-606287.31
2024-06-05,7942.97,0.0,0,0.0,0.0,4083.93,4031.2,635.44,2500,North,3859.05,7166.64,-3307.59,-3307.59,-3307.59,-609594.91
2024-06-06,8265.87,0.0,0,0.0,0.0,4401.9,4031.4,661.27,2500,North,3863.97,7192.67,-3328.7,-3328.7,-3328.7,-612923.61
2024-06-07,7455.17,0.0,0,0.0,0.0,4090.62,4031.6,596.41,2500,North,3364.55,7128.01,-3763.46,-3763.46,-3763.46,-616687.07
2024-06-08,7281.64,0.0,0,0.0,0.0,3833.93,4031.8,582.53,2500,North,3447.72,7114.33,-3666.62,-3666.62,-3666.62,-620353.69
2024-06-09,7576.16,0.0,0,0.0,0.0,4021.96,4032.0,606.09,2500,North,3554.2,7138.09,-3583.89,-3583.89,-3583.89,-623937.57
2024-06-10,6712.95,0.0,0,0.0,0.0,3500.12,4032.2,537.04,2500,North,3212.83,7069.24,-3856.41,-3856.41,-3856.41,-627793.98
2024-06-11,7546.45,0.0,0,0.0,0.0,4046.1,4032.4,603.72,2500,North,3500.35,7136.12,-3635.76,-3635.76,-3635.76,-631429.75
2024-06-12,7606.33,0.0,0,0.0,0.0,4183.28,4032.6,608.51,2500,North,3423.05,7141.11,-3718.05,-3718.05,-3718.05,-635147.8
2024-06-13,6777.29,0.0,0,0.0,0.0,3672.87,4032.8,542.18,2500,North,3104.42,7074.98,-3970.56,-3970.56,-3970.56,-639118.37
2024-06-14,6667.12,0.0,0,0.0,0.0,3519.01,4033.0,533.37,2500,North,3148.11,7066.37,-3918.26,-3918.26,-3918.26,-643036.63
2024-06-15,6025.69,0.0,0,0.0,0.0,3170.88,4033.2,482.06,2500,North,2854.81,7015.26,-4160.45,-4160.45,-4160.45,-647197.07
2024-06-16,7309.13,0.0,0,0.0,0.0,4011.54,4033.4,584.73,2500,North,3297.6,7118.13,-3820.54,-3820.54,-3820.54,-651017.61
2024-06-17,7943.38,0.0,0,0.0,0.0,4355.83,4033.6,635.47,2500,North,3587.55,7169.07,-3581.52,-3581.52,-3581.52,-654599.13
2024-06-18,8374.74,0.0,0,0.0,0.0,4202.22,4033.8,669.98,2500,North,4172.51,7203.78,-3031.27,-3031.27,-3031.27,-657630.39
2024-06-19,7962.66,0.0,0,0.0,0.0,3999.94,4034.0,637.01,2500,North,3962.72,7171.01,-3208.29,-3208.29,-3208.29,-660838.68
2024-06-20,7740.1,0.0,0,0.0,0.0,3926.19,4034.2,619.21,2500,North,3813.91,7153.41,-3339.5,-3339.5,-3339.5,-664178.18
2024-06-21,7369.96,0.0,0,0.0,0.0,3851.07,4034.4,589.6,2500,North,3518.89,7124.0,-3605.1,-3605.1,-3605.1,-667783.29
2024-06-22,8119.04,0.0,0,0.0,0.0,4190.07,4034.6,649.52,2500,North,3928.97,7184.12,-3255.15,-3255.15,-3255.15,-671038.44
