Date,Revenue,Marketing,R&D_Contracts,COGS,Salaries,Rent,Utilities,Loan_Proceeds,Loan_Payment,Product_Sold,Gross_Profit,Total_OpEx,Operating_Income,Daily_Cash_Flow,Cumulative_Cash_Flow
22-01-2024,3155.48,315.55,1921.27,1414.28,3003.15,1800,385.34,0,0,Legacy Product,1741.2,7425.31,-5684.11,-5684.11,-130395.8
23-01-2024,2891.95,289.19,1966.57,1174.35,3003.3,1800,386.95,0,0,Legacy Product,1717.6,7446.02,-5728.42,-5728.42,-136124.22
24-01-2024,2705.59,270.56,1993.67,1106.93,3003.45,1800,388.54,0,0,Legacy Product,1598.67,7456.22,-5857.55,-5857.55,-141981.78
25-01-2024,2910.12,291.01,2045.3,1225.71,3003.6,1800,390.12,0,0,Legacy Product,1684.4,7530.03,-5845.63,-5845.63,-147827.41
26-01-2024,2956.43,295.64,1999.4,1254.27,3003.75,1800,391.69,0,0,Legacy Product,1702.16,7490.49,-5788.33,-5788.33,-153615.74
27-01-2024,3043.88,304.39,2036.68,1220.51,3003.9,1800,393.25,0,0,Legacy Product,1823.37,7538.21,-5714.84,-5714.84,-159330.59
28-01-2024,3244.45,324.45,2127.93,1417.25,3004.05,1800,394.79,0,0,Legacy Product,1827.2,7651.22,-5824.03,-5824.03,-165154.61
29-01-2024,2530.5,253.05,2073.26,1068.03,3004.2,1800,396.33,0,0,Legacy Product,1462.47,7526.84,-6064.37,-6064.37,-171218.98
30-01-2024,2958.57,295.86,1863.58,1238.25,3004.35,1800,397.84,0,0,Legacy Product,1720.32,7361.63,-5641.31,-5641.31,-176860.29
31-01-2024,3346.45,334.65,2162.9,1478.09,3004.5,1800,399.35,0,0,Legacy Product,1868.36,7701.39,-5833.03,-5833.03,-182693.32
01-02-2024,3214.16,321.42,2018.4,1291.76,3004.65,1800,400.84,0,4000,Legacy Product,1922.41,7545.3,-5622.89,-9622.89,-192316.21
02-02-2024,2824.44,282.44,2263.32,1222.27,3004.8,1800,402.31,0,0,Legacy Product,1602.17,7752.87,-6150.7,-6150.7,-198466.91
03-02-2024,2982.66,298.27,1878.22,1324.83,3004.95,1800,403.77,0,0,Legacy Product,1657.83,7385.21,-5727.37,-5727.37,-204194.29
04-02-2024,3051.41,305.14,2024.89,1288.17,3005.1,1800,405.21,0,0,Legacy Product,1763.24,7540.34,-5777.1,-5777.1,-209971.39
05-02-2024,2902.8,290.28,2024.9,1164,3005.25,1800,406.64,0,0,Legacy Product,1738.8,7527.07,-5788.27,-5788.27,-215759.66
06-02-2024,3075.17,307.52,2171.35,1308.44,3005.4,1800,408.05,0,0,Legacy Product,1766.73,7692.32,-5925.59,-5925.59,-221685.25
07-02-2024,3045.47,304.55,2114.76,1318.76,3005.55,1800,409.44,0,0,Legacy Product,1726.71,7634.3,-5907.59,-5907.59,-227592.83
08-02-2024,2841.01,284.1,1869.41,1188.3,3005.7,1800,410.81,0,0,Legacy Product,1652.72,7370.02,-5717.3,-5717.3,-233310.14
09-02-2024,2969.48,296.95,1977.17,1333.44,3005.85,1800,412.17,0,0,Legacy Product,1636.05,7492.14,-5856.09,-5856.09,-239166.23
10-02-2024,2647.02,264.7,1634.93,1116.56,3006,1800,413.51,0,0,Legacy Product,1530.46,7119.14,-5588.68,-5588.68,-244754.91
11-02-2024,3058.34,305.83,1920.66,1345.57,3006.15,1800,414.83,0,0,Legacy Product,1712.77,7447.47,-5734.7,-5734.7,-250489.61
12-02-2024,2915.47,291.55,1983.97,1219.13,3006.3,1800,416.13,0,0,Legacy Product,1696.34,7497.94,-5801.61,-5801.61,-256291.22
13-02-2024,3020.73,302.07,1951.56,1211.43,3006.45,1800,417.41,0,0,Legacy Product,1809.3,7477.49,-5668.19,-5668.19,-261959.41
14-02-2024,2766.96,276.7,2013.74,1212.94,3006.6,1800,418.67,0,0,Legacy Product,1554.02,7515.71,-5961.68,-5961.68,-267921.09
15-02-2024,3141.31,314.13,2112.24,1362.28,3006.75,1800,419.91,0,0,Legacy Product,1779.03,7653.03,-5873.99,-5873.99,-273795.09
16-02-2024,3002.05,300.2,1891.96,1225.82,3006.9,1800,421.13,0,0,Legacy Product,1776.23,7420.19,-5643.96,-5643.96,-279439.05
17-02-2024,2998.98,299.9,1827.56,1285.69,3007.05,1800,422.33,0,0,Legacy Product,1713.29,7356.84,-5643.55,-5643.55,-285082.59
18-02-2024,2708.53,270.85,2122.1,1090.65,3007.2,1800,423.5,0,0,Legacy Product,1617.88,7623.65,-6005.78,-6005.78,-291088.37
19-02-2024,3169.62,316.96,1767.83,1350.04,3007.35,1800,424.66,0,0,Legacy Product,1819.58,7316.8,-5497.22,-5497.22,-296585.59
20-02-2024,3235.58,323.56,1978.62,1411.93,3007.5,1800,425.79,0,0,Legacy Product,1823.66,7535.47,-5711.81,-5711.81,-302297.4
21-02-2024,2951.76,295.18,2070.24,1202.11,3007.65,1800,426.9,0,0,Legacy Product,1749.65,7599.97,-5850.32,-5850.32,-308147.73
22-02-2024,3003.99,300.4,1992.57,1312.8,3007.8,1800,427.99,0,0,Legacy Product,1691.2,7528.76,-5837.56,-5837.56,-313985.29
23-02-2024,3432.12,343.21,1839.02,1441.22,3007.95,1800,429.06,0,0,Legacy Product,1990.91,7419.24,-5428.33,-5428.33,-319413.62
24-02-2024,3381.94,338.19,1897.26,1474.51,3008.1,1800,430.1,0,0,Legacy Product,1907.43,7473.65,-5566.22,-5566.22,-324979.84
25-02-2024,3072.84,307.28,1976.12,1325.51,3008.25,1800,431.12,0,0,Legacy Product,1747.33,7522.77,-5775.44,-5775.44,-330755.28
26-02-2024,2841.18,284.12,2059.83,1184.33,3008.4,1800,432.11,0,0,Legacy Product,1656.85,7584.46,-5927.61,-5927.61,-336682.89
27-02-2024,3059.54,305.95,1855.31,1291.92,3008.55,1800,433.08,0,0,Legacy Product,1767.62,7402.9,-5635.27,-5635.27,-342318.16
28-02-2024,3024.01,302.4,2205.39,1264.13,3008.7,1800,434.02,0,0,Legacy Product,1759.87,7750.52,-5990.65,-5990.65,-348308.81
29-02-2024,3035.2,303.52,2007.36,1304.58,3008.85,1800,434.95,0,0,Legacy Product,1730.61,7554.67,-5824.06,-5824.06,-354132.86
01-03-2024,3236.15,323.61,1937.88,1405.32,3009,1800,435.84,0,4000,Legacy Product,1830.83,7506.33,-5675.5,-9675.5,-363808.37
02-03-2024,3311.69,331.17,1998.17,1435.25,3009.15,1800,436.71,0,0,Legacy Product,1876.44,7575.2,-5698.76,-5698.76,-369507.13
03-03-2024,3379.68,337.97,1897.65,1436.29,3009.3,1800,437.55,0,0,Legacy Product,1943.4,7482.47,-5539.07,-5539.07,-375046.2
04-03-2024,2809.08,280.91,1963.89,1182.18,3009.45,1800,438.37,0,0,Legacy Product,1626.9,7492.62,-5865.72,-5865.72,-380911.92
05-03-2024,3234.64,323.46,2006.89,1424.94,3009.6,1800,439.16,0,0,Legacy Product,1809.69,7579.12,-5769.43,-5769.43,-386681.34
06-03-2024,3000.23,300.02,1656.25,1230.59,3009.75,1800,439.93,0,0,Legacy Product,1769.64,7205.96,-5436.32,-5436.32,-392117.66
07-03-2024,3151.21,315.12,2023.51,1393.54,3009.9,1800,440.67,0,0,Legacy Product,1757.68,7589.2,-5831.52,-5831.52,-397949.18
08-03-2024,2717.43,271.74,2017.35,1089.06,3010.05,1800,441.38,0,0,Legacy Product,1628.36,7540.52,-5912.16,-5912.16,-403861.34
09-03-2024,3123.55,312.36,2134.67,1296.09,3010.2,1800,442.07,0,0,Legacy Product,1827.46,7699.29,-5871.83,-5871.83,-409733.17
10-03-2024,2913.54,291.35,2020.57,1223.65,3010.35,1800,442.72,0,0,Legacy Product,1689.89,7565,-5875.11,-5875.11,-415608.28
11-03-2024,2839.44,283.94,1854.5,1207.54,3010.5,1800,443.35,0,0,Legacy Product,1631.9,7392.3,-5760.4,-5760.4,-421368.68
12-03-2024,2928.97,292.9,2296.03,1315.84,3010.65,1800,443.96,0,0,Legacy Product,1613.13,7843.54,-6230.41,-6230.41,-427599.09
13-03-2024,3044.49,304.45,2028.12,1301.4,3010.8,1800,444.53,0,0,Legacy Product,1743.1,7587.91,-5844.81,-5844.81,-433443.89
14-03-2024,2994.44,299.44,2134.67,1238.61,3010.95,1800,445.08,0,0,Legacy Product,1755.83,7690.14,-5934.31,-5934.31,-439378.21
15-03-2024,3213.58,321.36,2295.3,1398.36,3011.1,1800,445.6,0,0,Legacy Product,1815.23,7873.36,-6058.13,-6058.13,-445436.34
16-03-2024,3260.45,326.05,1739.1,1430.96,3011.25,1800,446.09,0,0,Legacy Product,1829.49,7322.48,-5492.99,-5492.99,-450929.33
17-03-2024,2976.09,297.61,2040.41,1218.44,3011.4,1800,446.55,0,0,Legacy Product,1757.65,7595.97,-5838.32,-5838.32,-456767.65
18-03-2024,2920.86,292.09,2209.18,1251.13,3011.55,1800,446.98,0,0,Legacy Product,1669.73,7759.8,-6090.07,-6090.07,-462857.71
19-03-2024,2991.02,299.1,1851.96,1216.3,3011.7,1800,447.39,0,0,Legacy Product,1774.72,7410.16,-5635.44,-5635.44,-468493.15
20-03-2024,2717.16,271.72,1865.12,1145.67,3011.85,1800,447.77,0,0,Legacy Product,1571.49,7396.45,-5824.97,-5824.97,-474318.12
21-03-2024,2979.56,297.96,2055.08,1262.78,3012,1800,448.11,0,0,Legacy Product,1716.78,7613.15,-5896.37,-5896.37,-480214.49
22-03-2024,3149.09,314.91,1991.87,1260.22,3012.15,1800,448.43,0,0,Legacy Product,1888.87,7567.36,-5678.48,-5678.48,-485892.97
23-03-2024,2912.74,291.27,1902.8,1170.76,3012.3,1800,448.72,0,0,Legacy Product,1741.98,7455.09,-5713.11,-5713.11,-491606.08
24-03-2024,2800.75,280.07,1811.82,1174.04,3012.45,1800,448.98,0,0,Legacy Product,1626.7,7353.33,-5726.62,-5726.62,-497332.71
25-03-2024,2979.93,297.99,2011.86,1234,3012.6,1800,449.21,0,0,Legacy Product,1745.93,7571.67,-5825.74,-5825.74,-503158.44
26-03-2024,2991.66,299.17,2262.54,1297.69,3012.75,1800,449.41,0,0,Legacy Product,1693.97,7823.87,-6129.9,-6129.9,-509288.34
27-03-2024,2768.09,276.81,1999.96,1130.78,3012.9,1800,449.58,0,0,Legacy Product,1637.3,7539.25,-5901.95,-5901.95,-515190.29
28-03-2024,2526.94,252.69,2040.71,1049.9,3013.05,1800,449.72,0,0,Legacy Product,1477.04,7556.17,-6079.13,-6079.13,-521269.42
29-03-2024,2835.62,283.56,2066.64,1152.11,3013.2,1800,449.84,0,0,Legacy Product,1683.51,7613.24,-5929.73,-5929.73,-527199.15
30-03-2024,2905.94,290.59,1995.31,1232.29,3013.35,1800,449.92,0,0,Legacy Product,1673.65,7549.18,-5875.52,-5875.52,-533074.68
31-03-2024,2845.99,284.6,1957.54,1155.63,3013.5,1800,449.97,0,0,Legacy Product,1690.36,7505.62,-5815.26,-5815.26,-538889.94
01-04-2024,3056.25,305.63,2039.3,1285.66,3013.65,1800,450,0,4000,Legacy Product,1770.59,7608.58,-5837.99,-9837.99,-548727.92
02-04-2024,2773.8,277.38,2098.78,1231.26,3013.8,1800,449.99,0,0,Legacy Product,1542.54,7639.95,-6097.41,-6097.41,-554825.34
03-04-2024,2918.04,291.8,2111.99,1177.51,3013.95,1800,449.96,0,0,Legacy Product,1740.53,7667.7,-5927.17,-5927.17,-560752.51
04-04-2024,3319.21,331.92,2221.91,1403.25,3014.1,1800,449.89,0,0,Legacy Product,1915.96,7817.83,-5901.87,-5901.87,-566654.37
05-04-2024,2687.68,268.77,2237.67,1161.1,3014.25,1800,449.8,0,0,Legacy Product,1526.58,7770.48,-6243.91,-6243.91,-572898.28
06-04-2024,2857.92,285.79,2115.96,1259.86,3014.4,1800,449.68,0,0,Legacy Product,1598.06,7665.83,-6067.77,-6067.77,-578966.05
07-04-2024,3165.57,316.56,2163.82,1383.68,3014.55,1800,449.52,0,0,Legacy Product,1781.9,7744.45,-5962.56,-5962.56,-584928.6
08-04-2024,3140.15,314.02,1794.19,1263.22,3014.7,1800,449.34,0,0,Legacy Product,1876.93,7372.25,-5495.31,-5495.31,-590423.92
09-04-2024,2992.49,299.25,2070.87,1298.45,3014.85,1800,449.13,0,0,Legacy Product,1694.03,7634.1,-5940.07,-5940.07,-596363.98
10-04-2024,3258.87,325.89,2050.25,1341.54,3015,1800,448.89,0,0,Legacy Product,1917.32,7640.02,-5722.7,-5722.7,-602086.68
11-04-2024,3196.11,319.61,2050.72,1332.14,3015.15,1800,448.61,0,0,Legacy Product,1863.97,7634.09,-5770.12,-5770.12,-607856.81
12-04-2024,3088.55,308.85,1906.26,1277.18,3015.3,1800,448.31,0,0,Legacy Product,1811.37,7478.73,-5667.36,-5667.36,-613524.16
13-04-2024,2923.6,292.36,2024.04,1220.85,3015.45,1800,447.99,0,0,Legacy Product,1702.75,7579.84,-5877.09,-5877.09,-619401.25
14-04-2024,2857.87,285.79,2209.76,1189.36,3015.6,1800,447.63,0,0,Legacy Product,1668.51,7758.78,-6090.27,-6090.27,-625491.52
15-04-2024,3158.59,315.86,1998.94,1293.62,3015.75,1800,447.24,0,0,Legacy Product,1864.96,7577.79,-5712.83,-5712.83,-631204.34
16-04-2024,3120.02,312,2087.74,1280.11,3015.9,1800,446.83,0,0,Legacy Product,1839.91,7662.47,-5822.56,-5822.56,-637026.9
17-04-2024,2844.62,284.46,2162.49,1176.06,3016.05,1800,446.38,0,0,Legacy Product,1668.56,7709.38,-6040.82,-6040.82,-643067.72
18-04-2024,2951.77,295.18,1749.61,1205.87,3016.2,1800,445.91,0,0,Legacy Product,1745.9,7306.89,-5560.99,-5560.99,-648628.71
19-04-2024,2710.74,271.07,2064.48,1143.22,3016.35,1800,445.41,0,0,Legacy Product,1567.52,7597.31,-6029.79,-6029.79,-654658.5
20-04-2024,2838.33,283.83,1898.76,1271.93,3016.5,1800,444.88,0,0,Legacy Product,1566.4,7443.97,-5877.57,-5877.57,-660536.07
21-04-2024,3220.95,322.1,1869.77,1345.1,3016.65,1800,444.32,0,0,Legacy Product,1875.85,7452.83,-5576.98,-5576.98,-666113.05
22-04-2024,3085.03,308.5,2008.88,1347.84,3016.8,1800,443.73,0,0,Legacy Product,1737.2,7577.92,-5840.72,-5840.72,-671953.78
23-04-2024,2919.16,291.92,2268.3,1172.72,3016.95,1800,443.12,0,0,Legacy Product,1746.45,7820.29,-6073.84,-6073.84,-678027.62
24-04-2024,2555.2,255.52,2165.72,1091.49,3017.1,1800,442.48,0,0,Legacy Product,1463.71,7680.82,-6217.12,-6217.12,-684244.74
25-04-2024,2791.29,279.13,2077.22,1251.91,3017.25,1800,441.81,0,0,Legacy Product,1539.38,7615.42,-6076.03,-6076.03,-690320.77
26-04-2024,3006.7,300.67,1974.15,1351.3,3017.4,1800,441.12,0,0,Legacy Product,1655.39,7533.33,-5877.94,-5877.94,-696198.72
27-04-2024,2986.68,298.67,2051.94,1243.93,3017.55,1800,440.39,0,0,Legacy Product,1742.74,7608.55,-5865.81,-5865.81,-702064.53
28-04-2024,3108.1,310.81,2009.9,1256.95,3017.7,1800,439.65,0,0,Legacy Product,1851.15,7578.05,-5726.9,-5726.9,-707791.43
29-04-2024,2930.91,293.09,2081.53,1291.1,3017.85,1800,438.87,0,0,Legacy Product,1639.81,7631.34,-5991.53,-5991.53,-713782.95
30-04-2024,2945.77,294.58,1991.39,1254.41,3018,1800,438.07,0,0,Legacy Product,1691.36,7542.04,-5850.68,-5850.68,-719633.63
01-05-2024,2774.46,277.45,1963.52,1132.2,3018.15,1800,437.24,0,4000,Legacy Product,1642.26,7496.36,-5854.1,-9854.1,-729487.73
02-05-2024,3053.43,305.34,2001.19,1285.21,3018.3,1800,436.39,0,0,Legacy Product,1768.21,7561.22,-5793.01,-5793.01,-735280.74
03-05-2024,3148.97,314.9,1761.14,1347.66,3018.45,1800,435.51,0,0,Legacy Product,1801.31,7330,-5528.68,-5528.68,-740809.42
04-05-2024,3262.06,326.21,1980.05,1424.66,3018.6,1800,434.6,0,0,Legacy Product,1837.4,7559.46,-5722.06,-5722.06,-746531.48
05-05-2024,3439.46,343.95,2028.64,1400.89,3018.75,1800,433.67,0,0,Legacy Product,2038.57,7625.01,-5586.44,-5586.44,-752117.92
06-05-2024,2794.31,279.43,2076.37,1216.19,3018.9,1800,432.72,0,0,Legacy Product,1578.11,7607.42,-6029.31,-6029.31,-758147.23
07-05-2024,2700.83,270.08,1780.19,1177.46,3019.05,1800,431.74,0,0,Legacy Product,1523.37,7301.07,-5777.7,-5777.7,-763924.93
08-05-2024,2841.75,284.18,1989.48,1172.44,3019.2,1800,430.74,0,0,Legacy Product,1669.31,7523.6,-5854.29,-5854.29,-769779.21
09-05-2024,3132.21,313.22,2247.07,1323.47,3019.35,1800,429.71,0,0,Legacy Product,1808.74,7809.35,-6000.6,-6000.6,-775779.82
10-05-2024,2986.89,298.69,1992.7,1256.07,3019.5,1800,428.66,0,0,Legacy Product,1730.82,7539.55,-5808.73,-5808.73,-781588.55
11-05-2024,2970.01,297,2159.89,1333.48,3019.65,1800,427.59,0,0,Legacy Product,1636.53,7704.13,-6067.6,-6067.6,-787656.14
12-05-2024,3064.01,306.4,1771.37,1320.11,3019.8,1800,426.49,0,0,Legacy Product,1743.9,7324.06,-5580.15,-5580.15,-793236.3
13-05-2024,3186.13,318.61,1990.56,1338.64,3019.95,1800,425.37,0,0,Legacy Product,1847.5,7554.49,-5706.99,-5706.99,-798943.29
14-05-2024,2892.26,289.23,1949.51,1281.87,3020.1,1800,424.23,0,0,Legacy Product,1610.39,7483.06,-5872.67,-5872.67,-804815.96
15-05-2024,2813.97,281.4,1824.41,1172.51,3020.25,1800,423.06,0,0,Legacy Product,1641.46,7349.12,-5707.66,-5707.66,-810523.62
16-05-2024,2835.76,283.58,1824.34,1273.27,3020.4,1800,421.88,0,0,Legacy Product,1562.49,7350.2,-5787.7,-5787.7,-816311.32
17-05-2024,3030.21,303.02,2192.38,1217.62,3020.55,1800,420.67,0,0,Legacy Product,1812.59,7736.62,-5924.03,-5924.03,-822235.35
18-05-2024,3023.81,302.38,1755.32,1218.58,3020.7,1800,419.45,0,0,Legacy Product,1805.23,7297.85,-5492.62,-5492.62,-827727.97
19-05-2024,2999.14,299.91,1954.97,1226.51,3020.85,1800,418.2,0,0,Legacy Product,1772.63,7493.93,-5721.3,-5721.3,-833449.27
20-05-2024,2818.61,281.86,2018.94,1230.02,3021,1800,416.93,0,0,Legacy Product,1588.59,7538.73,-5950.14,-5950.14,-839399.41
21-05-2024,3398.53,339.85,2040.6,1464.08,3021.15,1800,415.64,0,0,Legacy Product,1934.45,7617.25,-5682.79,-5682.79,-845082.2
22-05-2024,2788.98,278.9,1906.79,1227.18,3021.3,1800,414.33,0,0,Legacy Product,1561.79,7421.32,-5859.52,-5859.52,-850941.72
23-05-2024,2811.7,281.17,1906.76,1207.47,3021.45,1800,413.01,0,0,Legacy Product,1604.23,7422.39,-5818.16,-5818.16,-856759.89
24-05-2024,3130.67,313.07,2038.75,1318.59,3021.6,1800,411.66,0,0,Legacy Product,1812.08,7585.08,-5772.99,-5772.99,-862532.88
25-05-2024,2799.06,279.91,2114.24,1188.22,3021.75,1800,410.3,0,0,Legacy Product,1610.84,7626.2,-6015.36,-6015.36,-868548.24
26-05-2024,2879.84,287.98,1856.19,1250.33,3021.9,1800,408.92,0,0,Legacy Product,1629.51,7374.99,-5745.48,-5745.48,-874293.72
27-05-2024,2917.6,291.76,1556.37,1236.91,3022.05,1800,407.52,0,0,Legacy Product,1680.68,7077.7,-5397.02,-5397.02,-879690.74
28-05-2024,2853.37,285.34,2226.16,1226.68,3022.2,1800,406.1,0,0,Legacy Product,1626.69,7739.8,-6113.11,-6113.11,-885803.85
29-05-2024,3061.97,306.2,2196.92,1354.54,3022.35,1800,404.67,0,0,Legacy Product,1707.43,7730.14,-6022.71,-6022.71,-891826.56
30-05-2024,3107.68,310.77,2231.25,1397.91,3022.5,1800,403.22,150000,0,Legacy Product,1709.77,7767.74,-6057.96,143942.04,-747884.52
31-05-2024,2877.96,287.8,1925.64,1201.11,3022.65,1800,401.76,0,0,Legacy Product,1676.86,7437.85,-5760.99,-5760.99,-753645.51
01-06-2024,2832.1,283.21,1973.25,1208.11,3022.8,1800,400.28,0,4000,Legacy Product,1623.99,7479.53,-5855.55,-9855.55,-763501.06
02-06-2024,2898.45,289.85,2016.43,1299.11,3022.95,1800,398.78,0,0,Legacy Product,1599.34,7528.01,-5928.67,-5928.67,-769429.73
03-06-2024,3104.32,310.43,1544.52,1251.58,3023.1,1800,397.28,0,0,Legacy Product,1852.74,7075.33,-5222.59,-5222.59,-774652.31
04-06-2024,2809,280.9,1883.27,1258.04,3023.25,1800,395.75,0,0,Legacy Product,1550.96,7383.18,-5832.21,-5832.21,-780484.52
05-06-2024,2572.57,257.26,2210.08,1096.56,3023.4,1800,394.22,0,0,Legacy Product,1476.01,7684.96,-6208.94,-6208.94,-786693.47
06-06-2024,2853.82,285.38,1973.61,1256.11,3023.55,1800,392.67,0,0,Legacy Product,1597.71,7475.21,-5877.5,-5877.5,-792570.96
07-06-2024,2873.9,287.39,2026.43,1154.04,3023.7,1800,391.11,0,0,Legacy Product,1719.86,7528.62,-5808.76,-5808.76,-798379.72
08-06-2024,2667.74,266.77,2064.68,1121.45,3023.85,1800,389.53,0,0,Legacy Product,1546.29,7544.83,-5998.54,-5998.54,-804378.27
09-06-2024,3009.26,300.93,1867.08,1273.41,3024,1800,387.95,0,0,Legacy Product,1735.84,7379.95,-5644.11,-5644.11,-810022.37
10-06-2024,2910.59,291.06,1960.22,1200.12,3024.15,1800,386.35,0,0,Legacy Product,1710.48,7461.78,-5751.3,-5751.3,-815773.67
11-06-2024,2669.86,266.99,1923.48,1169.34,3024.3,1800,384.74,0,0,Legacy Product,1500.52,7399.51,-5898.99,-5898.99,-821672.67
12-06-2024,3017.87,301.79,2115.01,1325.21,3024.45,1800,383.12,0,0,Legacy Product,1692.66,7624.36,-5931.7,-5931.7,-827604.37
13-06-2024,3098.98,309.9,1602.55,1335.1,3024.6,1800,381.49,0,0,Legacy Product,1763.88,7118.54,-5354.66,-5354.66,-832959.03
14-06-2024,2781.12,278.11,2074.67,1128.71,3024.75,1800,379.86,0,0,Legacy Product,1652.41,7557.39,-5904.98,-5904.98,-838864.01
15-06-2024,2521.28,252.13,1997.34,1121.69,3024.9,1800,378.21,0,0,Legacy Product,1399.59,7452.58,-6052.99,-6052.99,-844917
16-06-2024,3265.75,326.58,2061.56,1398.47,3025.05,1800,376.56,0,0,Legacy Product,1867.28,7589.74,-5722.46,-5722.46,-850639.47
17-06-2024,3112.85,311.29,1993.53,1366.18,3025.2,1800,374.89,0,0,Legacy Product,1746.68,7504.91,-5758.23,-5758.23,-856397.7
18-06-2024,2735.07,273.51,1633.66,1176.72,3025.35,1800,373.22,0,0,Legacy Product,1558.35,7105.74,-5547.38,-5547.38,-861945.08
19-06-2024,2746.02,274.6,1807.94,1183.1,3025.5,1800,371.55,0,0,Legacy Product,1562.92,7279.59,-5716.67,-5716.67,-867661.75
20-06-2024,3271.02,327.1,2205.12,1453.97,3025.65,1800,369.86,0,0,Legacy Product,1817.05,7727.74,-5910.69,-5910.69,-873572.44
21-06-2024,3114.54,311.45,1787.68,1305.78,3025.8,1800,368.18,0,0,Legacy Product,1808.75,7293.11,-5484.35,-5484.35,-879056.79
22-06-2024,3043.54,304.35,2012.42,1323.71,3025.95,1800,366.48,0,0,Legacy Product,1719.83,7509.21,-5789.38,-5789.38,-884846.17
23-06-2024,2790.35,279.04,2039.51,1202.05,3026.1,1800,364.78,0,0,Legacy Product,1588.3,7509.43,-5921.13,-5921.13,-890767.3
24-06-2024,2957.13,295.71,2122.24,1213.1,3026.25,1800,363.08,0,0,Legacy Product,1744.04,7607.28,-5863.24,-5863.24,-896630.55
25-06-2024,2957.62,295.76,1914.78,1252.05,3026.4,1800,361.37,0,0,Legacy Product,1705.57,7398.31,-5692.74,-5692.74,-902323.29
26-06-2024,2644.45,264.45,1807.08,1075.78,3026.55,1800,359.66,0,0,Legacy Product,1568.67,7257.73,-5689.06,-5689.06,-908012.35
27-06-2024,3206.37,320.64,2119.73,1314.73,3026.7,1800,357.95,0,0,Legacy Product,1891.64,7625.02,-5733.37,-5733.37,-913745.72
